District,LAD_Name,Region_Code,Region_Name,D,F,S,T,Total
ADUR,Adur,E12000008,South East,5,2,11,5,23
AMBER VALLEY,Amber Valley,E12000004,East Midlands,11,1,14,13,39
ARUN,Arun,E12000008,South East,30,6,11,16,63
ASHFIELD,Ashfield,E12000004,East Midlands,4,0,13,8,25
ASHFORD,Ashford,E12000008,South East,13,5,11,13,42
BABERGH,Babergh,E12000006,East of England,15,1,10,8,34
BARKING AND DAGENHAM,Barking and Dagenham,E12000007,London,0,9,2,13,24
BARNET,Barnet,E12000007,London,3,38,25,13,79
BARNSLEY,Barnsley,E12000003,Yorkshire and The Humber,15,1,25,24,65
BASILDON,Basildon,E12000006,East of England,13,6,10,35,64
BASINGSTOKE AND DEANE,Basingstoke and Deane,E12000008,South East,16,8,11,20,55
BASSETLAW,Bassetlaw,E12000004,East Midlands,16,1,17,5,39
BATH AND NORTH EAST SOMERSET,Bath and North East Somerset,E12000009,South West,14,7,12,23,56
BEDFORD,Bedford,E12000006,East of England,28,9,17,19,73
BEXLEY,Bexley,E12000007,London,4,14,20,23,61
BIRMINGHAM,Birmingham,E12000005,West Midlands,19,44,74,94,231
BLABY,Blaby,E12000004,East Midlands,7,1,10,3,21
BLACKBURN WITH DARWEN,Blackburn with Darwen,E12000002,North West,3,4,8,23,38
BLACKPOOL,Blackpool,E12000002,North West,0,6,18,27,51
BOLSOVER,Bolsover,E12000004,East Midlands,7,0,4,8,19
BOLTON,Bolton,E12000002,North West,11,6,21,34,72
BOSTON,Boston,E12000004,East Midlands,14,0,5,3,22
"BOURNEMOUTH, CHRISTCHURCH AND POOLE","Bournemouth, Christchurch and Poole",E12000009,South West,66,44,33,20,163
BRACKNELL FOREST,Bracknell Forest,E12000008,South East,11,3,5,14,33
BRADFORD,Bradford,E12000003,Yorkshire and The Humber,20,11,58,81,170
BRAINTREE,Braintree,E12000006,East of England,20,7,26,17,70
BRECKLAND,Breckland,E12000006,East of England,33,0,16,14,63
BRENT,Brent,E12000007,London,2,16,4,9,31
BRENTWOOD,Brentwood,E12000006,East of England,5,10,9,5,29
BRIGHTON AND HOVE,Brighton and Hove,E12000008,South East,6,32,17,33,88
BROADLAND,Broadland,E12000006,East of England,18,1,19,8,46
BROMLEY,Bromley,E12000007,London,11,33,35,19,98
BROMSGROVE,Bromsgrove,E12000005,West Midlands,11,4,7,6,28
BROXBOURNE,Broxbourne,E12000006,East of England,5,8,7,8,28
BROXTOWE,Broxtowe,E12000004,East Midlands,13,0,20,10,43
BUCKINGHAMSHIRE,Buckinghamshire,E12000008,South East,67,24,55,47,193
BURNLEY,Burnley,E12000002,North West,3,1,5,22,31
BURY,Bury,E12000002,North West,9,6,18,26,59
CALDERDALE,Calderdale,E12000003,Yorkshire and The Humber,12,2,12,39,65
CAMBRIDGE,Cambridge,E12000006,East of England,3,9,6,13,31
CAMDEN,Camden,E12000007,London,1,30,0,2,33
CANNOCK CHASE,Cannock Chase,E12000005,West Midlands,5,1,12,4,22
CANTERBURY,Canterbury,E12000008,South East,16,10,12,9,47
CASTLE POINT,Castle Point,E12000006,East of England,11,6,10,3,30
CENTRAL BEDFORDSHIRE,Central Bedfordshire,E12000006,East of England,25,18,36,39,118
CHARNWOOD,Charnwood,E12000004,East Midlands,24,3,30,14,71
CHELMSFORD,Chelmsford,E12000006,East of England,15,6,29,22,72
CHELTENHAM,Cheltenham,E12000009,South West,9,15,20,15,59
CHERWELL,Cherwell,E12000008,South East,16,4,14,12,46
CHESHIRE EAST,Cheshire East,E12000002,North West,61,14,46,52,173
CHESHIRE WEST AND CHESTER,Cheshire West and Chester,E12000002,North West,51,8,44,32,135
CHESTERFIELD,Chesterfield,E12000004,East Midlands,11,0,14,17,42
CHICHESTER,Chichester,E12000008,South East,20,6,12,9,47
CHORLEY,Chorley,E12000002,North West,10,2,12,15,39
CITY OF LONDON,City of London,E12000007,London,0,4,0,0,4
COLCHESTER,Colchester,E12000006,East of England,24,10,29,18,81
CORNWALL,Cornwall,E12000009,South West,91,24,55,88,258
COTSWOLD,Cotswold,E12000009,South West,17,2,11,17,47
COUNTY DURHAM,County Durham,E12000001,North East,33,5,57,97,192
COVENTRY,Coventry,E12000005,West Midlands,8,12,18,51,89
CRAWLEY,Crawley,E12000008,South East,1,3,5,15,24
CROYDON,Croydon,E12000007,London,10,30,18,35,93
DACORUM,Dacorum,E12000006,East of England,9,16,13,19,57
DARLINGTON,Darlington,E12000001,North East,10,3,24,30,67
DARTFORD,Dartford,E12000008,South East,3,3,12,17,35
DERBYSHIRE DALES,Derbyshire Dales,E12000004,East Midlands,6,2,5,3,16
DONCASTER,Doncaster,E12000003,Yorkshire and The Humber,16,2,44,17,79
DORSET,Dorset,E12000009,South West,70,25,34,46,175
DOVER,Dover,E12000008,South East,9,2,12,16,39
DUDLEY,Dudley,E12000005,West Midlands,16,4,27,12,59
EALING,Ealing,E12000007,London,1,32,10,15,58
EAST CAMBRIDGESHIRE,East Cambridgeshire,E12000006,East of England,14,0,7,9,30
EAST DEVON,East Devon,E12000009,South West,30,8,13,19,70
EAST HAMPSHIRE,East Hampshire,E12000008,South East,20,4,18,10,52
EAST HERTFORDSHIRE,East Hertfordshire,E12000006,East of England,7,10,13,14,44
EAST LINDSEY,East Lindsey,E12000004,East Midlands,39,2,11,11,63
EAST RIDING OF YORKSHIRE,East Riding of Yorkshire,E12000003,Yorkshire and The Humber,63,16,43,42,164
EAST STAFFORDSHIRE,East Staffordshire,E12000005,West Midlands,13,3,13,12,41
EAST SUFFOLK,East Suffolk,E12000006,East of England,37,8,29,34,108
EASTBOURNE,Eastbourne,E12000008,South East,4,10,8,11,33
EASTLEIGH,Eastleigh,E12000008,South East,16,4,9,16,45
ELMBRIDGE,Elmbridge,E12000008,South East,7,16,13,13,49
ENFIELD,Enfield,E12000007,London,8,22,19,30,79
EPPING FOREST,Epping Forest,E12000006,East of England,7,12,13,11,43
EPSOM AND EWELL,Epsom and Ewell,E12000008,South East,1,5,7,1,14
EREWASH,Erewash,E12000004,East Midlands,8,2,13,11,34
EXETER,Exeter,E12000009,South West,5,6,8,16,35
FAREHAM,Fareham,E12000008,South East,18,6,14,14,52
FENLAND,Fenland,E12000006,East of England,15,1,8,1,25
FOLKESTONE AND HYTHE,Folkestone and Hythe,E12000008,South East,6,7,11,15,39
FOREST OF DEAN,Forest of Dean,E12000009,South West,9,0,5,6,20
FYLDE,Fylde,E12000002,North West,10,6,9,7,32
GATESHEAD,Gateshead,E12000001,North East,6,7,23,22,58
GEDLING,Gedling,E12000004,East Midlands,17,1,10,8,36
GLOUCESTER,Gloucester,E12000009,South West,3,8,14,10,35
GOSPORT,Gosport,E12000008,South East,2,6,3,12,23
GRAVESHAM,Gravesham,E12000008,South East,5,3,12,15,35
